Country,avg Max Temp., avg Min Temp.
Afghanistan ,28.53 , -4.55
Albania ,25.84 , -2.05
Algeria ,35.83 , 9.53
American Samoa ,28.54 , 24.71
Andorra ,24.31 , -0.92
Angola ,25.17 , 17.23
Antigua and Barbuda ,29.33 , 23.16
Argentina ,23.29 , 4.8
Armenia ,25.29 , -10.28
Aruba ,30.79 , 24.12
Australia ,29.86 , 12.53
Austria ,20.08 , -11.08
Azerbaijan ,26.68 , -5.99
Bahamas ,30.18 , 18.17
Bahrain ,37.69 , 12.16
Bangladesh ,29.79 , 14.79
Barbados ,29.05 , 23.71
Belarus ,22.81 , -16.53
Belgium ,22.84 , -6.08
Belize ,28.92 , 19.72
Benin ,31.72 , 22.77
Bhutan ,19.31 , 0.98
Bolivia ,24.51 , 15.88
Bosnia and Herzegovina ,24.04 , -6.53
Botswana ,28.86 , 12.57
Brazil ,27.15 , 21.8
Bulgaria ,25.06 , -6.9
Burkina Faso ,33.67 , 22.92
Burundi ,22.86 , 17.62
Cambodia ,30.43 , 21.9
Cameroon ,27.72 , 21.72
Canada ,14.8 , -28.74
Cape Verde ,28.42 , 20.01
Cayman Islands ,30.19 , 21.17
Central African Republic ,29.87 , 19.97
Chad ,33.42 , 17.47
Chile ,15.49 , 3.21
China ,21.04 , -11.73
Colombia ,27.21 , 22.92
Comoros ,28.65 , 22.51
Congo ,27.11 , 21.8
Costa Rica ,28.86 , 22.99
Croatia ,25.51 , -5.81
Cuba ,28.87 , 19.44
Cyprus ,29.79 , 7.03
Czech Republic ,22.09 , -11.62
Denmark ,0.7 , -36.83
Djibouti ,35.18 , 23.02
Dominica ,28.9 , 22.94
Dominican Republic ,28.58 , 21.86
Ecuador ,24.34 , 19.77
Egypt ,32.59 , 10.95
El Salvador ,27.99 , 21.2
Equatorial Guinea ,27.93 , 21.48
Eritrea ,31.69 , 21.35
Estonia ,22.33 , -16.55
Ethiopia ,26.2 , 20.08
Faroe Islands ,13.46 , -1.17
Fiji ,27.9 , 21.28
Finland ,19.13 , -21.2
France ,23.66 , 1.6
French Polynesia ,28.62 , 22.68
Gabon ,27.19 , 20.78
Gambia ,31.66 , 21.63
Georgia ,22.97 , -8.59
Germany ,22.34 , -9.3
Ghana ,30.73 , 22.69
Greece ,28.43 , 1.22
Greenland ,0.34 , -37.66
Grenada ,29.16 , 24.16
Guam ,28.86 , 24.76
Guatemala ,26.67 , 18.23
Guinea ,29.76 , 20.84
Guinea Bissau ,30.46 , 21.64
Guyana ,28.26 , 23.47
Haiti ,29.43 , 22.6
Honduras ,28.31 , 19.98
Hong Kong ,29.68 , 11.62
Hungary ,24.93 , -9.82
Iceland ,11.89 , -10.01
India ,31.33 , 14.39
Indonesia ,27.48 , 23.73
Iran ,31.65 , -0.02
Iraq ,37.4 , 3.84
Ireland ,18.09 , 0.27
Isle of Man ,17.82 , -0.14
Israel ,30.46 , 7.17
Italy ,26.12 , -1.22
Ivory Coast ,29.99 , 22.79
Jamaica ,28.82 , 22.07
Japan ,26.64 , -2.26
Jordan ,31.79 , 4.99
Kazakhstan ,25.56 , -23.6
Kenya ,27.18 , 21.28
Kiribati ,28.72 , 24.15
Kuwait ,38.84 , 8.07
Kyrgyzstan ,19.28 , -19.16
Laos ,28.59 , 16.2
Latvia ,22.28 , -15.78
Lebanon ,29.44 , 4.55
Lesotho ,21.52 , 4.49
Liberia ,28.45 , 22.36
Libya ,33.15 , 9.31
Liechtenstein ,18.44 , -12.01
Lithuania ,21.79 , -15.18
Luxembourg ,23.14 , -7.17
Macau ,29.77 , 10.76
Macedonia ,24.69 , -6.2
Madagascar ,26.67 , 18.19
Malawi ,26.17 , 15.83
Malaysia ,28.26 , 23.53
Maldives ,29.38 , 26.24
Mali ,35.37 , 19.06
Malta ,29.08 , 8.4
Marshall Islands ,29.08 , 26.57
Mauritania ,35.16 , 17.27
Mauritius ,27.74 , 19.24
Mayotte ,29.06 , 23.52
Mexico ,26.93 , 12.06
Micronesia ,28.34 , 25.82
Moldova ,25.23 , -12.78
Monaco ,23.04 , -5.36
Mongolia ,20.72 , -27.44
Montenegro ,24.23 , -6.52
Morocco ,28.91 , 7.12
Mozambique ,27.95 , 18.06
Myanmar ,27.37 , 16.4
Namibia ,26.65 , 13.02
Nepal ,23.44 , 2.68
Netherlands ,21.96 , -5.42
New Caledonia ,27.62 , 18.69
New Zealand ,17.7 , 3.34
Nicaragua ,29.25 , 22.22
Niger ,35 , 16.25
Nigeria ,31.83 , 22.3
North Korea ,23.95 , -14.39
Northern Mariana Islands ,28.86 , 24.76
Norway ,15.31 , -15.51
Oman ,35.1 , 17.56
Pakistan ,31.23 , 5.95
Palau ,29.05 , 25.05
Palestine ,29.54 , 8.2
Panama ,29.05 , 24.08
Papua New Guinea ,25.93 , 21.78
Paraguay ,29.5 , 14.01
Peru ,22.72 , 17.32
Philippines ,29.16 , 22.98
Poland ,22.51 , -13.11
Portugal ,25.79 , 4.25
Puerto Rico ,28.5 , 21.93
Qatar ,37.6 , 13.89
Republic of the Congo ,26.98 , 22.29
Romania ,24.02 , -10.92
Russia ,16.89 , -30.58
Rwanda ,21.66 , 16.88
Samoa ,28.22 , 24.42
San Marino ,27.27 , -0.27
Sao Tome and Principe ,28.43 , 22.64
Saudi Arabia ,36.5 , 12.76
Senegal ,32.87 , 21.54
Serbia ,24.45 , -8.43
Seychelles ,29.58 , 22.61
Sierra Leone ,29.55 , 21.95
Singapore ,28.88 , 24.03
Slovakia ,22.16 , -11.67
Slovenia ,24.03 , -7.15
Solomon Islands ,28.28 , 24.19
Somalia ,29.6 , 23.72
South Africa ,24.65 , 8.53
South Korea ,28.07 , -6.23
Spain ,26.03 , 1.72
Sri Lanka ,29.74 , 23.16
St Kitts and Nevis ,27.28 , 21.78
St Lucia ,28.54 , 22.68
St Vincent and the Grenadines ,29.46 , 24.03
Sudan ,32.12 , 13.75
Suriname ,28.59 , 23.4
Swaziland ,24.82 , 11.41
Sweden ,17.93 , -16.61
Switzerland ,21.09 , -8.81
Syria ,32.65 , 1.76
Taiwan ,28.85 , 12.68
Tajikistan ,19.36 , -16.47
Tanzania ,25.04 , 19.17
Thailand ,30.44 , 20.1
Togo ,30.98 , 22.66
Tonga ,27.39 , 19.3
Trinidad and Tobago ,28.41 , 23.41
Tunisia ,33.81 , 6.32
Turkey ,26.27 , -4.52
Turkmenistan ,32.14 , -8.44
Uganda ,26.5 , 21.03
Ukraine ,24.3 , -14.72
United Arab Emirates ,37.75 , 15.74
United Kingdom ,17.29 , -1.47
United States ,23.01 , -7.58
Uruguay ,25.83 , 8.2
Uzbekistan ,30.38 , -12.32
Vanuatu ,26.33 , 20.48
Venezuela ,27.81 , 22.78
Vietnam ,28.56 , 16.56
Virgin Islands ,29.33 , 22.95
Yemen ,32.74 , 18.47
Zambia ,26.28 , 15.52
Zimbabwe ,26.6 , 14.08
