Country,Freedom Status,Political Rights,Civil Rights,Freedom Index,CPI Score 2018,HDI,IHDI,IHDI Loss,IHDI Rank,Coefficient of human inequality,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income Quintile ratio,Income Palma ratio ,Income Gini coefficient,Homicide rate(2015/2016),Ease of Doing Business,Press Freedom 2019,Pension Index,Adequacy,Sustainability,Integrity,Healthcare Ind,Healthcare Exp.,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,max. avg. Internet speed,min. avg. Internet speed , max. avg. percipitation ,  min avg. Percipitation,avg. max Temperature, avg. min Temperature,Corporate Tax rates,Employee Social Contribution,Employer Social Contribution,Individual Income Tax rates,current Inflation rate,max. Inflation rate, min. Inflation rate,VAT,Health expenditure / Capita,Sort criteria
Norway,Free,1,1,100,84,0.953,98.8,8.0,-1,7.9,2.7,0.933,6.1,0.859,14.9,0.839,4.1,1.0,82.5,0.5,92.8,100.0,73.3,71.5,58.1,90.2,74.36,135.72,15,4,3,16,18,11,23633,4055,201,18.92,15.31,-15.51,50.0,8.2,14.1,40.2,46.3,18.9,-1.8,9.099999999999994,7477.89760673,69.83
Czech Republic,Free,1,1,93,59,0.888,77.4,5.3,11,5.2,3.3,0.876,1.6,0.879,10.8,0.771,3.7,0.9,95.8,0.6,59.0,37.4,-,-,-,-,74.47,136.81,35,19,30,40,81,48,17768,3672,-,-,22.09,-11.62,61.5,11,34,74.6,26.799999999999997,21.9,-0.4,27.299999999999997,1321.62020252,66.14
Denmark,Free,1,1,97,88,0.929,89.3,7.5,2,7.4,3.4,0.905,4.3,0.880,14.4,0.798,4.0,1.0,76.7,1.0,97.6,92.5,99.7,77.5,81.8,82.2,79.22,146.06,28,21,20,8,65,34,20708,3196,-,-,0.7,-36.83,50.0,0,0,2.799999999999997,78.0,13,-0.1,9.099999999999994,5565.59342469,65.76
New Zealand,Free,1,1,98,87,0.917,81.0,7.7,3,7.5,4.3,0.913,1.7,0.901,16.4,0.736,,,,,100.0,89.3,64.2,65.4,63.4,80.6,73.71,133.68,31,16,26,20,80,41,14709,1999,-,-,17.7,3.34,26.900000000000006,0,-,51.3,51.2,44,-15.3,54.5,3745.2164613,64.74
Finland,Free,1,1,100,85,0.920,94.0,5.6,10,5.5,2.8,0.920,1.9,0.887,11.7,0.802,3.9,1.0,85.8,1.4,80.7,99.7,82.4,75.3,61.0,92.1,75.27,136.95,20,27,22,18,44,31,20587,2733,117,4.25,19.13,-21.2,57.7,9.79,20.17,7.299999999999997,68.3,19.31,-1.54,13.599999999999994,4117.25778244,64.27
Switzerland,Free,1,1,96,85,0.944,95.8,7.8,-2,7.5,3.5,0.942,2.4,0.876,16.8,0.799,5.2,1.3,40.8,0.5,55.4,90.1,61.5,58.0,67.5,83.2,73.23,137.77,8,10,2,2,26,20,21683,4380,315,9.71,21.09,-8.81,65.4,6,6,36.4,78.0,11.92,-1.4,87.7,9835.96368572,63.68
Iceland,Free,1,1,95,76,0.935,100.0,6.0,5,5.9,2.4,0.945,2.6,0.889,12.8,0.807,3.6,0.9,98.3,0.3,75.9,74.8,-,-,-,-,65.66,119.72,19,24,16,14,27,15,17459,3379,227,5.88,11.89,-10.01,57.7,0,6.6,23.200000000000003,17.099999999999994,25.2,-0.06,13.599999999999994,5063.60583151,63.55
Ireland,Free,1,1,96,73,0.938,85.7,9.0,-7,8.6,2.8,0.922,2.9,0.891,20.1,0.759,5.1,1.2,45.8,0.8,73.5,73.7,59.1,79.0,45.9,76.6,51.44,93.38,27,13,25,25,32,19,16961,2269,273,5.71,18.09,0.27,86.5,4,10.95,19.5,65.9,23.15,-6.56,18.200000000000003,4758.59431522,62.94
Sweden,Free,1,1,100,85,0.933,91.7,7.4,1,7.2,2.7,0.937,3.7,0.870,15.3,0.789,4.6,1.0,68.3,1.1,86.7,98.2,76.4,67.6,72.6,80.2,69.41,127.31,4,28,4,7,21,23,22847,4527,135,7.8,17.93,-16.61,52.3,7,31.42,0.0,48.8,15.5,-1.6,9.099999999999994,5710.59141927,60.08
Canada,Free,1,1,99,81,0.926,84.5,8.0,0,7.7,4.3,0.921,1.4,0.887,17.4,0.758,6.2,1.3,28.299999999999997,1.7,74.7,71.2,62.7,72.1,56.0,78.2,71.27,130.87,12,18,7,10,35,30,16206,3294,71.16,14.32,14.8,-28.74,32.7,6.72,7.37,51.3,43.9,21.6,-17.8,100.0,4458.21499934,60.05
Hungary,Free,3,2,72,46,0.838,36.9,7.8,8,7.7,4.7,0.822,3.2,0.789,15.2,0.710,4.9,1.1,58.3,2.1,37.3,17.099999999999994,-,-,-,-,47.62,86.24,62,40,43,59,105,66,14814,2885,158,1.02,24.93,-9.82,100.0,18.5,21,89.4,9.799999999999997,31,-1.4,0.0,942.59196302,59.49
United Kingdom,Free,1,1,94,80,0.922,74.4,9.4,-3,9.1,4.0,0.912,3.7,0.880,19.5,0.726,5.4,1.3,35.0,1.2,90.4,47.2,46.1,57.8,53.4,82.9,74.88,137.41,14,2,9,26,24,18,16921,3086,233,11.23,17.29,-1.47,61.5,2,13.8,25.799999999999997,43.9,8.5,-0.1,31.799999999999997,3958.01889383,57.27
Netherlands,Free,1,1,99,82,0.931,87.5,7.9,0,7.8,3.0,0.925,5.3,0.858,15.0,0.792,4.4,1.1,67.5,0.6,57.8,97.0,100.0,75.9,79.2,88.8,75.63,137.84,13,15,8,9,19,17,17915,4165,-,-,21.96,-5.42,38.5,27.65,19.8,11.5,26.799999999999997,11.19,-1.3,27.299999999999997,4742.0302736,56.3
Slovakia,Free,1,1,89,50,0.855,51.8,6.8,10,6.7,5.2,0.831,1.4,0.819,13.4,0.744,4.1,0.9,90.8,1.0,50.6,42.2,-,-,-,-,60.46,109.49,42,39,39,45,88,62,13802,4018,193,0.99,22.16,-11.67,53.8,13.4,35.2,68.2,29.299999999999997,9.8,-0.9,31.799999999999997,1178.73823051,56.25
Australia,Free,1,1,98,77,0.939,89.9,8.2,-4,8.0,3.6,0.935,2.6,0.904,17.7,0.755,5.8,1.4,22.5,0.9,79.5,68.0,76.7,63.4,73.8,85.7,76.82,139.91,2,17,12,17,39,32,11063,1923,226,5.69,29.86,12.53,19.200000000000003,0,-,25.799999999999997,61.0,23.9,-1.3,77.3,5002.35827732,55.89
Slovenia,Free,1,1,93,60,0.896,81.0,5.6,11,5.5,3.0,0.912,2.2,0.866,11.4,0.766,3.7,0.9,100.0,0.5,53.0,46.9,-,-,-,-,63.75,117.37,34,23,29,29,62,38,14584,2560,348,1.16,24.03,-7.15,61.5,22.1,16.1,15.200000000000003,49.0,22.6,-0.9,22.700000000000003,1834.16071169,54.58
Germany,Free,1,1,94,80,0.936,89.9,8.1,-2,7.8,3.0,0.913,2.7,0.915,17.7,0.763,5.1,1.2,47.5,1.2,72.3,75.2,59.1,79.9,44.9,76.6,73.58,134.05,22,20,14,3,41,25,15299,3208,136,2.79,22.34,-9.3,19.200000000000003,20.08,19.83,25.799999999999997,53.7,11.54,-7.62,36.4,4714.2608733,52.72
Romania,Free,2,2,84,47,0.811,4.2,11.7,1,11.4,6.8,0.797,6.3,0.714,21.0,0.647,4.3,1.0,75.8,1.2,38.6,34.599999999999994,-,-,-,-,54.99,96.69,80,78,72,107,111,99,16991,3458,-,-,24.02,-10.92,73.1,35,2.25,100.0,0.0,317,-3.5,36.4,476.36830872,52.34
Cyprus,Free,1,1,94,59,0.869,35.1,11.5,-1,11.3,3.6,0.900,11.7,0.714,18.7,0.707,5.3,1.4,28.299999999999997,1.1,32.5,49.0,-,-,-,-,52.06,90.02,25,31,28,39,22,24,7168,759,-,-,29.79,7.03,86.5,8.3,8.3,47.0,97.6,18.75,-3.59,36.4,1634.43092199,49.87
Bulgaria,Free,2,2,80,42,0.813,0.0,12.7,-1,12.3,6.7,0.788,6.5,0.753,23.6,0.604,7.3,1.6,0.0,1.1,30.099999999999994,0.0,-,-,-,-,55.07,97.41,60,53,74,96,92,102,15815,2020,153,1.59,25.06,-6.9,96.2,13.78,19.02,100.0,24.400000000000006,2020,-2.6,31.799999999999997,612.47858555,48.76
Poland,Free,1,2,85,60,0.865,45.8,9.0,5,8.8,4.7,0.847,4.7,0.825,17.1,0.697,5.0,1.2,46.7,0.7,61.4,22.799999999999997,21.2,53.8,46.2,66.4,62.52,112.28,45,5,34,58,89,50,12755,1605,159,3.42,22.51,-13.11,61.5,13.71,21,53.4,29.299999999999997,46.5,-1.6,18.200000000000003,809.01490244,47.91
South Korea,Free,2,2,84,57,0.903,37.5,14.3,-8,14.0,3.2,0.929,18.5,0.702,20.2,0.709,5.3,1.2,48.3,0.7,95.2,37.3,0.0,45.4,48.1,49.3,83.59,153.19,51,37,35,31,107,58,29048,6993,606,2.59,28.07,-6.23,38.5,8.65,9.65,32.2,75.6,32.5,0.2,77.3,2043.86063994,45.67
Austria,Free,1,1,94,76,0.908,74.4,8.0,2,7.8,3.0,0.922,2.6,0.830,17.7,0.760,4.9,1.1,57.5,0.7,69.9,72.5,20.3,68.1,21.5,76.7,79.46,145.78,17,8,10,6,15,9,14100,3287,246,3.12,20.08,-11.08,38.5,18.12,21.38,4.599999999999994,53.7,10.2,-3,31.799999999999997,4688.28020378,44.81
Belgium,Free,1,1,95,75,0.916,75.0,8.7,1,8.7,3.6,0.909,8.7,0.815,13.7,0.788,4.2,1.0,80.8,1.9,47.0,84.4,-,-,-,-,78.30,142.96,16,26,13,15,28,21,16276,4021,198,1.67,22.84,-6.08,23.099999999999994,13.07,27.5,15.200000000000003,50.5,223,-18.11,27.299999999999997,4149.38532224,44.33
Croatia,Free,1,2,86,48,0.831,27.4,9.0,4,8.8,4.1,0.853,5.0,0.752,17.3,0.675,5.2,1.1,55.0,1.0,31.299999999999997,22.299999999999997,-,-,-,-,65.60,120.17,38,33,36,56,57,43,8592,1894,-,-,25.51,-5.81,65.4,20,16.5,44.9,78.0,8.43,-1.8,9.099999999999994,884.49111374,42.53
France,Free,1,2,90,72,0.901,58.3,10.3,1,10.1,3.6,0.930,8.6,0.768,18.1,0.739,5.2,1.3,39.2,1.4,62.7,47.3,40.6,79.5,42.2,56.5,78.34,143.47,3,12,6,4,4,1,10757,3071,180,5.91,23.66,1.6,15.400000000000006,23,45,25.799999999999997,63.4,18.8,-0.7,31.799999999999997,4263.36156106,41.11
Japan,Free,1,1,96,73,0.909,98.8,3.6,16,3.6,2.9,0.955,1.6,0.835,6.3,0.844,5.4,1.2,44.2,0.3,54.2,21.099999999999994,2.7,54.1,32.4,60.7,80.48,147.00,1,3,1,13,9,10,20172,6542,389,34.53,26.64,-2.26,16.799999999999997,15.19,15.49,2.5999999999999943,75.6,24.9,-2.5,86.4,4233.0332764,39.9
Luxembourg,Free,1,1,98,81,0.904,60.1,10.3,0,10.1,3.4,0.921,9.4,0.718,17.7,0.805,5.0,1.2,51.7,,21.700000000000003,71.3,-,-,-,-,-,-,18,22,5,5,31,16,11591,2533,-,-,23.14,-7.17,34.599999999999994,12.45,15.15,24.200000000000003,48.8,4.99,-1.35,45.5,6271.43758791,38.37
Portugal,Free,1,1,97,64,0.847,13.1,13.6,-7,13.2,2.9,0.918,16.3,0.635,20.5,0.674,6.4,1.5,15.799999999999997,0.6,60.2,82.4,-,-,-,-,71.64,130.21,29,34,32,28,13,12,13145,2347,345,0.33,25.79,4.25,53.8,11,23.75,19.5,82.9,53.9,-1.6,18.200000000000003,1800.85991928,37.75
Spain,Free,1,1,94,58,0.891,26.2,15.4,-12,14.9,3.0,0.945,18.6,0.671,23.3,0.676,7.3,1.5,10.0,0.6,65.1,48.1,21.5,68.7,27.8,68.6,78.42,144.35,5,11,19,24,6,7,15487,2354,171,2.13,26.03,1.72,38.5,6.35,29.9,25.799999999999997,82.9,28.43,-1.37,27.299999999999997,2389.88740785,36.3
Italy,Free,1,1,89,52,0.880,36.3,12.3,-4,11.9,2.9,0.944,10.5,0.708,22.5,0.687,6.6,1.4,22.5,0.7,39.8,37.1,16.7,67.7,20.1,74.5,66.56,120.67,6,14,11,11,3,2,9211,2454,190,10.25,26.12,-1.22,42.3,9.49,30,30.099999999999994,75.6,25.64,-0.6,22.700000000000003,2738.70612439,34.49
Malta,Free,1,1,92,54,0.878,56.5,8.3,5,8.2,4.0,0.901,6.9,0.762,13.7,0.761,4.4,1.1,70.0,0.9,0.0,19.700000000000003,-,-,-,-,-,-,21,38,31,37,2,5,12927,1974,281,0,29.08,8.4,0.0,10,10,47.0,48.8,5.74,-1.08,40.9,2327.78190367,30.01
Greece,Free,2,2,85,45,0.870,25.6,13.5,-8,13.1,3.5,0.912,13.1,0.728,22.8,0.642,7.1,1.5,11.700000000000003,0.8,14.5,22.099999999999994,-,-,-,-,55.48,98.13,7,6,23,30,11,14,7862,1525,230,0.3,28.43,1.22,26.900000000000006,16,25.06,25.799999999999997,100.0,33.7,-2.9,13.599999999999994,1510.66671302,24.69
